Date,Open,High,Low,Close,Adj Close,Volume
1973-10-23,8.428787,8.444424,8.303684,8.397511,1.908484,480406
1973-10-24,8.397511,8.444424,8.303684,8.444424,1.919144,478807
1973-10-25,8.381873,8.381873,8.288046,8.366235,1.901374,352511
1973-10-26,8.366235,8.475700,8.366235,8.475700,1.926253,654663
1973-10-29,8.491338,8.585165,8.491338,8.522614,1.936915,420455
1973-10-30,8.522614,8.538251,8.319322,8.366235,1.901374,489199
1973-10-31,8.288046,8.288046,8.162944,8.178581,1.858727,487600
1973-11-01,8.178581,8.194219,8.022203,8.037841,1.826742,451629
1973-11-02,8.037841,8.084754,7.975290,8.006565,1.819632,482804
1973-11-05,7.990928,7.990928,7.850187,7.897101,1.794755,509182
1973-11-06,7.897101,8.006565,7.850187,7.850187,1.784094,452429
1973-11-07,7.850187,7.990928,7.850187,7.928376,1.801865,574728
1973-11-08,8.272408,8.475700,8.272408,8.334960,1.894268,904058
1973-11-09,8.334960,8.381873,8.209857,8.272408,1.880051,472412
1973-11-12,8.272408,8.303684,8.116030,8.225495,1.869389,466817
1973-11-13,8.225495,8.506976,8.194219,8.444424,1.919144,318938
1973-11-14,8.444424,8.491338,8.162944,8.209857,1.865837,560340
1973-11-15,8.209857,8.225495,8.006565,8.006565,1.819632,805739
1973-11-16,8.006565,8.241133,8.006565,8.100392,1.840958,662656
1973-11-19,8.100392,8.162944,7.850187,7.865825,1.787648,368498
1973-11-20,7.865825,7.928376,7.787636,7.803274,1.773433,710617
1973-11-21,7.803274,7.975290,7.771998,7.818912,1.776986,954417
1973-11-23,7.818912,7.881463,7.756360,7.881463,1.791202,382886
1973-11-26,7.818912,7.818912,7.693809,7.740722,1.759216,527567
1973-11-27,7.740722,7.756360,7.584344,7.584344,1.723676,442837
1973-11-28,7.615620,7.834549,7.615620,7.834549,1.780539,653863
1973-11-29,7.834549,8.006565,7.771998,7.975290,1.812525,508383
1973-11-30,7.975290,8.006565,7.818912,7.897101,1.806086,348514
1973-12-03,7.897101,7.912738,7.381052,7.506155,1.716678,1715392
1973-12-04,7.506155,7.615620,7.412328,7.443604,1.702372,669051
1973-12-05,7.443604,7.506155,7.334139,7.459242,1.705949,564337
1973-12-06,7.459242,7.709447,7.412328,7.646895,1.748867,755380
1973-12-07,7.693809,7.912738,7.693809,7.787636,1.781053,660258
1973-12-10,7.787636,7.865825,7.693809,7.850187,1.795359,631482
1973-12-11,7.850187,7.865825,7.662533,7.693809,1.759595,428448
1973-12-12,7.662533,7.662533,7.381052,7.381052,1.688066,482004
1973-12-13,7.381052,7.490517,7.349777,7.412328,1.695220,665054
1973-12-14,7.412328,7.490517,7.271588,7.349777,1.680914,759377
1973-12-17,7.349777,7.412328,7.162123,7.224674,1.652303,403669
1973-12-18,7.224674,7.349777,7.193399,7.349777,1.680914,476409
1973-12-19,7.349777,7.459242,7.349777,7.412328,1.695220,763374
1973-12-20,7.412328,7.474879,7.349777,7.443604,1.702372,325333
1973-12-21,7.443604,7.443604,7.224674,7.287226,1.666608,454027
1973-12-24,7.271588,7.271588,7.130847,7.209036,1.648726,232609
1973-12-26,7.334139,7.506155,7.334139,7.490517,1.713102,689834
1973-12-27,7.662533,7.865825,7.662533,7.803274,1.784631,882476
1973-12-28,7.803274,7.834549,7.756360,7.818912,1.788206,376491
1973-12-31,7.818912,7.881463,7.693809,7.881463,1.802512,364501
1974-01-02,7.850187,7.850187,7.756360,7.834549,1.791782,291761
1974-01-03,7.834549,7.975290,7.803274,7.928376,1.813240,563538
1974-01-04,7.959652,8.116030,7.959652,8.100392,1.852580,397274
1974-01-07,8.100392,8.131668,8.006565,8.022203,1.834699,352511
1974-01-08,8.006565,8.006565,7.756360,7.834549,1.791782,397274
1974-01-09,7.771998,7.771998,7.599982,7.646895,1.748867,621090
1974-01-10,7.646895,7.709447,7.459242,7.506155,1.716678,478807
1974-01-11,7.521793,7.693809,7.521793,7.678171,1.756019,418856
1974-01-14,7.709447,7.865825,7.709447,7.771998,1.777476,525968
1974-01-15,7.771998,7.865825,7.709447,7.787636,1.781053,370096
1974-01-16,7.787636,7.803274,7.678171,7.787636,1.781053,231010
1974-01-17,7.787636,7.881463,7.740722,7.881463,1.802512,529965
1974-01-18,7.865825,7.865825,7.803274,7.834549,1.791782,440439
1974-01-21,7.834549,7.912738,7.646895,7.897101,1.806086,385284
1974-01-22,7.897101,7.959652,7.787636,7.944014,1.816817,449231
1974-01-23,7.959652,8.116030,7.959652,8.100392,1.852580,570732
1974-01-24,8.100392,8.116030,7.975290,8.037841,1.838275,589117
1974-01-25,8.022203,8.022203,7.725085,7.725085,1.766748,581922
1974-01-28,7.725085,7.725085,7.381052,7.412328,1.695220,697827
1974-01-29,7.427966,7.584344,7.427966,7.568706,1.730983,515577
1974-01-30,7.568706,7.709447,7.521793,7.584344,1.734560,511580
1974-01-31,7.568706,7.568706,7.474879,7.490517,1.713102,598709
1974-02-01,7.490517,7.490517,7.381052,7.396690,1.691643,471613
1974-02-04,7.396690,7.396690,7.193399,7.240312,1.655879,509182
1974-02-05,7.240312,7.255950,7.099572,7.115209,1.627268,487600
1974-02-06,7.115209,7.130847,7.005745,7.068296,1.616538,692232
1974-02-07,7.068296,7.130847,7.037020,7.083934,1.620115,464419
1974-02-08,7.083934,7.115209,7.052658,7.052658,1.612962,294159
1974-02-11,7.037020,7.037020,6.755540,6.771177,1.548586,741791
1974-02-12,6.771177,6.911918,6.724264,6.911918,1.580774,597110
1974-02-13,6.911918,6.927556,6.739902,6.739902,1.541433,540357
1974-02-14,6.739902,6.880642,6.692988,6.786815,1.552163,570732
1974-02-15,6.802453,6.990107,6.802453,6.990107,1.598657,442037
1974-02-19,6.990107,7.115209,6.943193,6.990107,1.598657,509182
1974-02-20,6.990107,7.068296,6.865004,7.068296,1.616538,471613
1974-02-21,7.068296,7.255950,7.037020,7.255950,1.659455,342919
1974-02-22,7.255950,7.271588,7.083934,7.240312,1.655879,395675
1974-02-25,7.240312,7.287226,7.130847,7.224674,1.652303,405267
1974-02-26,7.224674,7.287226,7.130847,7.287226,1.666608,431646
1974-02-27,7.287226,7.365415,7.224674,7.224674,1.652303,561939
1974-02-28,7.177761,7.177761,7.005745,7.083934,1.631416,354909
1974-03-01,7.083934,7.130847,7.005745,7.068296,1.627813,491597
1974-03-04,7.037020,7.037020,6.974469,7.021383,1.617009,326932
1974-03-05,7.021383,7.146485,6.911918,7.005745,1.613409,757778
1974-03-06,7.005745,7.021383,6.911918,7.005745,1.613409,519574
1974-03-07,7.005745,7.052658,6.911918,6.911918,1.591799,484402
1974-03-08,6.911918,7.037020,6.880642,6.958831,1.602603,484402
1974-03-11,6.958831,7.099572,6.896280,7.099572,1.635016,524370
1974-03-12,7.099572,7.146485,7.021383,7.068296,1.627813,512380
1974-03-13,7.068296,7.115209,6.818091,6.880642,1.584597,1258967
1974-03-14,6.880642,6.927556,6.646075,6.646075,1.530577,1046341
1974-03-15,6.630437,6.630437,6.458421,6.614799,1.523374,1051137
1974-03-18,6.614799,6.661713,6.520972,6.536610,1.505367,766571
1974-03-19,6.505334,6.505334,6.348956,6.395870,1.472954,2578684
1974-03-20,6.458421,6.692988,6.458421,6.677350,1.537779,555544
1974-03-21,6.677350,6.911918,6.661713,6.739902,1.552185,828120
1974-03-22,6.818091,6.958831,6.818091,6.880642,1.584597,1119881
1974-03-25,6.880642,7.068296,6.849366,7.068296,1.627813,590715
1974-03-26,7.068296,7.115209,7.005745,7.037020,1.620610,438041
1974-03-27,7.037020,7.068296,6.865004,6.880642,1.584597,573929
